path,section,audience,title,words,h2s,internal_links,tbd,sample_figures,faq_schema,schema,depth,priority,question_answered,target_phrases,actions,pmg_input
/our-partners/illinois/,our-partners,hospital,Illinois Hospital Pain Management Partners,223,3,12,0,0,no,ItemList MedicalClinic,thin,P2,"Which hospitals in Illinois have a PMG pain management center, and how do I reach them?",pain management clinic in Illinois; hospital pain clinic Illinois; Ferrell Pain Management Center; Marshall Browning,"one paragraph per hospital (services, since when, who refers); MedicalClinic schema with address and phone; patient FAQs (appointments, referrals) with schema",Per-hospital details from PMG or the partner; directory confirmation
/our-partners/indiana/,our-partners,hospital,Indiana Hospital Pain Management Partners,261,3,12,0,0,no,ItemList MedicalClinic,thin,P1,"Which hospitals in Indiana have a PMG pain management center, and how do I reach them?",pain management clinic in Indiana; hospital pain clinic Indiana; pain management Greensburg IN; pain management Greenfield IN; pain management Greencastle IN; Decatur County Memorial Pain Management Center; Hancock Pain Management,"one paragraph per hospital (services, since when, who refers); MedicalClinic schema with address and phone; patient FAQs (appointments, referrals) with schema",Per-hospital details from PMG or the partner; directory confirmation
/our-partners/kentucky/,our-partners,hospital,Kentucky Hospital Pain Management Partners,283,3,12,0,0,no,ItemList MedicalClinic,thin,P1,"Which hospitals in Kentucky have a PMG pain management center, and how do I reach them?",pain management clinic in Kentucky; hospital pain clinic Kentucky; pain management Cynthiana KY; pain management Marysville KY; pain management Hartford KY; pain management Leitchfield KY; Breckinridge Health Pain Management Center; Harrison Memorial Pain Management,"one paragraph per hospital (services, since when, who refers); MedicalClinic schema with address and phone; patient FAQs (appointments, referrals) with schema",Per-hospital details from PMG or the partner; directory confirmation
/our-partners/maine/,our-partners,hospital,Maine Hospital Pain Management Partners,228,3,12,0,0,no,ItemList MedicalClinic,thin,P2,"Which hospitals in Maine have a PMG pain management center, and how do I reach them?",pain management clinic in Maine; hospital pain clinic Maine; Houlton Regional Hospital; Northern Maine Medical Center,"one paragraph per hospital (services, since when, who refers); MedicalClinic schema with address and phone; patient FAQs (appointments, referrals) with schema",Per-hospital details from PMG or the partner; directory confirmation
/our-partners/michigan/,our-partners,hospital,Michigan Hospital Pain Management Partners,264,3,12,0,0,no,ItemList MedicalClinic,thin,P2,"Which hospitals in Michigan have a PMG pain management center, and how do I reach them?",pain management clinic in Michigan; hospital pain clinic Michigan; pain management Allegan MI; pain management Owosso MI; pain management West Branch MI; Allegan Pain Management Center; MEMORIAL PAIN CLINIC,"one paragraph per hospital (services, since when, who refers); MedicalClinic schema with address and phone; patient FAQs (appointments, referrals) with schema",Per-hospital details from PMG or the partner; directory confirmation
/our-partners/north-carolina/,our-partners,hospital,North Carolina Hospital Pain Management Partners,226,3,12,0,0,no,ItemList MedicalClinic,thin,P2,"Which hospitals in North Carolina have a PMG pain management center, and how do I reach them?",pain management clinic in North Carolina; hospital pain clinic North Carolina; Columbus Regional,"one paragraph per hospital (services, since when, who refers); MedicalClinic schema with address and phone; patient FAQs (appointments, referrals) with schema",Per-hospital details from PMG or the partner; directory confirmation
/our-partners/ohio/,our-partners,hospital,Ohio Hospital Pain Management Partners,508,3,12,0,0,no,ItemList MedicalClinic,moderate,P1,"Which hospitals in Ohio have a PMG pain management center, and how do I reach them?",pain management clinic in Ohio; hospital pain clinic Ohio; pain management Seaman OH; pain management Galion OH; pain management Findlay OH; pain management Wilmington OH; ACRMC Restorative Pain Care; Avita Pain Management,"one paragraph per hospital (services, since when, who refers); MedicalClinic schema with address and phone; patient FAQs (appointments, referrals) with schema",Per-hospital details from PMG or the partner; directory confirmation
/our-partners/pennsylvania/,our-partners,hospital,Pennsylvania Hospital Pain Management Partners,213,3,12,0,0,no,ItemList MedicalClinic,thin,P2,"Which hospitals in Pennsylvania have a PMG pain management center, and how do I reach them?",pain management clinic in Pennsylvania; hospital pain clinic Pennsylvania; pain management Transfer PA; Edgewood Pain Management Center,"one paragraph per hospital (services, since when, who refers); MedicalClinic schema with address and phone; patient FAQs (appointments, referrals) with schema",Per-hospital details from PMG or the partner; directory confirmation
/our-partners/tennessee/,our-partners,hospital,Tennessee Hospital Pain Management Partners,220,3,12,0,0,no,ItemList MedicalClinic,thin,P2,"Which hospitals in Tennessee have a PMG pain management center, and how do I reach them?",pain management clinic in Tennessee; hospital pain clinic Tennessee; pain management Dayton TN; Hardin Medical Center; RHEA PAIN MANAGEMENT CENTER,"one paragraph per hospital (services, since when, who refers); MedicalClinic schema with address and phone; patient FAQs (appointments, referrals) with schema",Per-hospital details from PMG or the partner; directory confirmation
/our-partners/wisconsin/,our-partners,hospital,Wisconsin Hospital Pain Management Partners,226,3,12,0,0,no,ItemList MedicalClinic,thin,P2,"Which hospitals in Wisconsin have a PMG pain management center, and how do I reach them?",pain management clinic in Wisconsin; hospital pain clinic Wisconsin; pain management Edgerton WI; Edgerton Hospital Pain & Spine Center,"one paragraph per hospital (services, since when, who refers); MedicalClinic schema with address and phone; patient FAQs (appointments, referrals) with schema",Per-hospital details from PMG or the partner; directory confirmation
/providers/,providers,provider,For Providers and APPs,166,3,4,0,0,no,,thin,P2,Why practice pain medicine with PMG?,pain management physician jobs; interventional pain physician jobs Ohio; hospital-based pain management physician; pain management APP jobs,direct answer in the first 50 words; H2s as questions; key facts block; 3 to 5 page FAQs with FAQPage schema; plain-language definitions; related links both ways; where PMG hires (states); what the practice model means day to day,"Autonomy, support, schedules, compensation approach"
/providers/why-pmg/,providers,provider,Why Practice With PMG,201,4,6,4,0,no,,thin,P2,What is it like to practice at a PMG partner center?,pain management physician practice model; pain physician autonomy hospital employment; pain management practice support,direct answer in the first 50 words; H2s as questions; key facts block; 3 to 5 page FAQs with FAQPage schema; plain-language definitions; related links both ways; fill the 4 placeholders,"Clinical decision-making, procedure support, schedules, compensation"
/providers/opportunities/,providers,provider,Open Opportunities,109,2,5,0,0,no,,thin,P2,"What openings does PMG have now, and where?",pain management physician jobs Ohio; pain management nurse practitioner jobs; interventional pain jobs Kentucky Indiana,states where PMG hires; what the recruiting process looks like; JobPosting schema only if openings are listed on the page,Recruiting process; whether openings can be listed here
/pain-education/,pain-education,patient,Pain Education,201,3,38,0,0,no,,thin,P2,"Which pain conditions, procedures and medications does PMG explain for patients?",pain conditions explained; interventional pain procedures list; pain education for patients; pain management treatments,longer category introductions; when to see a pain specialist; link to state pages; glossary (needs approval as a new page),Clinician review
/pain-education/bursitis-of-the-hip-trochanteric-bursitis/,pain-education,patient,Bursitis of the Hip (Trochanteric Bursitis),381,4,3,0,0,no,MedicalWebPage MedicalCondition,moderate,P1,"What is Bursitis of the Hip, what causes it, what are the symptoms, and how is it treated?",Bursitis of the Hip symptoms; Bursitis of the Hip causes; Bursitis of the Hip treatment; what is bursitis of the hip,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/cervical-radiculopathy/,pain-education,patient,Cervical Radiculopathy,349,4,3,0,0,no,MedicalWebPage MedicalCondition,moderate,P1,"What is Cervical Radiculopathy, what causes it, what are the symptoms, and how is it treated?",Cervical Radiculopathy symptoms; Cervical Radiculopathy causes; Cervical Radiculopathy treatment; what is cervical radiculopathy,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/complex-regional-pain-syndrome-crps/,pain-education,patient,Complex Regional Pain Syndrome (CRPS),407,4,3,0,0,no,MedicalWebPage MedicalCondition,moderate,P1,"What is Complex Regional Pain Syndrome, what causes it, what are the symptoms, and how is it treated?",Complex Regional Pain Syndrome symptoms; Complex Regional Pain Syndrome causes; Complex Regional Pain Syndrome treatment; what is complex regional pain syndrome,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/post-laminectomy-syndrome/,pain-education,patient,Post-Laminectomy Syndrome,380,4,3,0,0,no,MedicalWebPage MedicalCondition,moderate,P1,"What is Post-Laminectomy Syndrome, what causes it, what are the symptoms, and how is it treated?",Post-Laminectomy Syndrome symptoms; Post-Laminectomy Syndrome causes; Post-Laminectomy Syndrome treatment; what is post-laminectomy syndrome,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/spinal-stenosis/,pain-education,patient,Spinal Stenosis,401,4,3,0,0,no,MedicalWebPage MedicalCondition,moderate,P1,"What is Spinal Stenosis, what causes it, what are the symptoms, and how is it treated?",Spinal Stenosis symptoms; Spinal Stenosis causes; Spinal Stenosis treatment; what is spinal stenosis,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/spondylosis/,pain-education,patient,Spondylosis,77,0,3,0,0,no,MedicalWebPage MedicalCondition,thin,P1,"What is Spondylosis, what causes it, what are the symptoms, and how is it treated?",Spondylosis symptoms; Spondylosis causes; Spondylosis treatment; what is spondylosis,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/lumbar-radiculopathy-sciatica/,pain-education,patient,Lumbar Radiculopathy (Sciatica),411,4,3,0,0,no,MedicalWebPage MedicalCondition,moderate,P1,"What is Lumbar Radiculopathy, what causes it, what are the symptoms, and how is it treated?",Lumbar Radiculopathy symptoms; Lumbar Radiculopathy causes; Lumbar Radiculopathy treatment; what is lumbar radiculopathy,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/basivertebral-nerve-ablation-bvn/,pain-education,patient,Basivertebral Nerve Ablation (BVN),183,2,3,0,0,no,MedicalWebPage MedicalProcedure,thin,P2,"What is Basivertebral Nerve Ablation, who is it for, and what should a patient expect?",Basivertebral Nerve Ablation procedure; Basivertebral Nerve Ablation what to expect; Basivertebral Nerve Ablation recovery; Basivertebral Nerve Ablation side effects,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/botox-injections-for-chronic-migraine/,pain-education,patient,BOTOX® Injections for Chronic Migraine,466,4,3,0,0,no,MedicalWebPage MedicalProcedure,moderate,P2,"What is BOTOX Injections for Chronic Migraine, who is it for, and what should a patient expect?",BOTOX Injections for Chronic Migraine procedure; BOTOX Injections for Chronic Migraine what to expect; BOTOX Injections for Chronic Migraine recovery; BOTOX Injections for Chronic Migraine side effects,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/caudal-epidural-steroid-injection/,pain-education,patient,Caudal Epidural Steroid Injection,413,4,3,0,0,no,MedicalWebPage MedicalProcedure,moderate,P2,"What is Caudal Epidural Steroid Injection, who is it for, and what should a patient expect?",Caudal Epidural Steroid Injection procedure; Caudal Epidural Steroid Injection what to expect; Caudal Epidural Steroid Injection recovery; Caudal Epidural Steroid Injection side effects,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/cervical-epidural-steroid-injection/,pain-education,patient,Cervical Epidural Steroid Injection,402,4,3,0,0,no,MedicalWebPage MedicalProcedure,moderate,P2,"What is Cervical Epidural Steroid Injection, who is it for, and what should a patient expect?",Cervical Epidural Steroid Injection procedure; Cervical Epidural Steroid Injection what to expect; Cervical Epidural Steroid Injection recovery; Cervical Epidural Steroid Injection side effects,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/cervical-facet-radiofrequency-neurotomy/,pain-education,patient,Cervical Facet Radiofrequency Neurotomy,440,4,3,0,0,no,MedicalWebPage MedicalProcedure,moderate,P2,"What is Cervical Facet Radiofrequency Neurotomy, who is it for, and what should a patient expect?",Cervical Facet Radiofrequency Neurotomy procedure; Cervical Facet Radiofrequency Neurotomy what to expect; Cervical Facet Radiofrequency Neurotomy recovery; Cervical Facet Radiofrequency Neurotomy side effects,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/cervical-transforaminal-epidural-steroid-injection/,pain-education,patient,Cervical Transforaminal Epidural Steroid Injection,421,4,3,0,0,no,MedicalWebPage MedicalProcedure,moderate,P2,"What is Cervical Transforaminal Epidural Steroid Injection, who is it for, and what should a patient expect?",Cervical Transforaminal Epidural Steroid Injection procedure; Cervical Transforaminal Epidural Steroid Injection what to expect; Cervical Transforaminal Epidural Steroid Injection recovery; Cervical Transforaminal Epidural Steroid Injection side effects,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/genicular-nerve-ablation-rf-neurotomy/,pain-education,patient,Genicular Nerve Ablation (RF Neurotomy),102,0,3,0,0,no,MedicalWebPage MedicalProcedure,thin,P2,"What is Genicular Nerve Ablation, who is it for, and what should a patient expect?",Genicular Nerve Ablation procedure; Genicular Nerve Ablation what to expect; Genicular Nerve Ablation recovery; Genicular Nerve Ablation side effects,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/joint-injection/,pain-education,patient,Hip Joint Injection,401,4,3,0,0,no,MedicalWebPage MedicalProcedure,moderate,P2,"What is Hip Joint Injection, who is it for, and what should a patient expect?",Hip Joint Injection procedure; Hip Joint Injection what to expect; Hip Joint Injection recovery; Hip Joint Injection side effects,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/lumbar-epidural-steroid-injection/,pain-education,patient,Lumbar Epidural Steroid Injection,444,4,3,0,0,no,MedicalWebPage MedicalProcedure,moderate,P2,"What is Lumbar Epidural Steroid Injection, who is it for, and what should a patient expect?",Lumbar Epidural Steroid Injection procedure; Lumbar Epidural Steroid Injection what to expect; Lumbar Epidural Steroid Injection recovery; Lumbar Epidural Steroid Injection side effects,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/lumbar-sympathetic-block/,pain-education,patient,Lumbar Sympathetic Block,407,4,3,0,0,no,MedicalWebPage MedicalProcedure,moderate,P2,"What is Lumbar Sympathetic Block, who is it for, and what should a patient expect?",Lumbar Sympathetic Block procedure; Lumbar Sympathetic Block what to expect; Lumbar Sympathetic Block recovery; Lumbar Sympathetic Block side effects,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/lumbar-transforaminal-epidural-steroid-injection/,pain-education,patient,Lumbar Transforaminal Epidural Steroid Injection,425,4,3,0,0,no,MedicalWebPage MedicalProcedure,moderate,P2,"What is Lumbar Transforaminal Epidural Steroid Injection, who is it for, and what should a patient expect?",Lumbar Transforaminal Epidural Steroid Injection procedure; Lumbar Transforaminal Epidural Steroid Injection what to expect; Lumbar Transforaminal Epidural Steroid Injection recovery; Lumbar Transforaminal Epidural Steroid Injection side effects,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/medial-branch-block/,pain-education,patient,Medial Branch Block,391,4,3,0,0,no,MedicalWebPage MedicalProcedure,moderate,P2,"What is Medial Branch Block, who is it for, and what should a patient expect?",Medial Branch Block procedure; Medial Branch Block what to expect; Medial Branch Block recovery; Medial Branch Block side effects,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/mild-procedure-vertos-medical/,pain-education,patient,Mild® Procedure (Vertos Medical),415,4,3,0,0,no,MedicalWebPage MedicalProcedure,moderate,P2,"What is Mild Procedure, who is it for, and what should a patient expect?",Mild Procedure procedure; Mild Procedure what to expect; Mild Procedure recovery; Mild Procedure side effects,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/radiofrequency-ablation-rfa-for-pain/,pain-education,patient,Radiofrequency Ablation (RFA) for Pain,402,4,3,0,0,no,MedicalWebPage MedicalProcedure,moderate,P2,"What is Radiofrequency Ablation for Pain, who is it for, and what should a patient expect?",Radiofrequency Ablation for Pain procedure; Radiofrequency Ablation for Pain what to expect; Radiofrequency Ablation for Pain recovery; Radiofrequency Ablation for Pain side effects,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/radiofrequency-neurotomy-of-the-lumbar-facets/,pain-education,patient,Radiofrequency Neurotomy of the Lumbar Facets,453,4,3,0,0,no,MedicalWebPage MedicalProcedure,moderate,P2,"What is Radiofrequency Neurotomy of the Lumbar Facets, who is it for, and what should a patient expect?",Radiofrequency Neurotomy of the Lumbar Facets procedure; Radiofrequency Neurotomy of the Lumbar Facets what to expect; Radiofrequency Neurotomy of the Lumbar Facets recovery; Radiofrequency Neurotomy of the Lumbar Facets side effects,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/radiofrequency-neurotomy-of-the-thoracic-facets/,pain-education,patient,Radiofrequency Neurotomy of the Thoracic Facets,472,4,3,0,0,no,MedicalWebPage MedicalProcedure,moderate,P2,"What is Radiofrequency Neurotomy of the Thoracic Facets, who is it for, and what should a patient expect?",Radiofrequency Neurotomy of the Thoracic Facets procedure; Radiofrequency Neurotomy of the Thoracic Facets what to expect; Radiofrequency Neurotomy of the Thoracic Facets recovery; Radiofrequency Neurotomy of the Thoracic Facets side effects,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/sacroiliac-joint-steroid-injection/,pain-education,patient,Sacroiliac Joint Steroid Injection,428,4,3,0,0,no,MedicalWebPage MedicalProcedure,moderate,P2,"What is Sacroiliac Joint Steroid Injection, who is it for, and what should a patient expect?",Sacroiliac Joint Steroid Injection procedure; Sacroiliac Joint Steroid Injection what to expect; Sacroiliac Joint Steroid Injection recovery; Sacroiliac Joint Steroid Injection side effects,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/soft-tissue-injection/,pain-education,patient,Steroid Injection for Shoulder Bursitis,425,4,3,0,0,no,MedicalWebPage MedicalProcedure,moderate,P2,"What is Steroid Injection for Shoulder Bursitis, who is it for, and what should a patient expect?",Steroid Injection for Shoulder Bursitis procedure; Steroid Injection for Shoulder Bursitis what to expect; Steroid Injection for Shoulder Bursitis recovery; Steroid Injection for Shoulder Bursitis side effects,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/spinal-cord-stimulator-implant/,pain-education,patient,Spinal Cord Stimulator Implant,545,4,3,0,0,no,MedicalWebPage MedicalProcedure,moderate,P2,"What is Spinal Cord Stimulator Implant, who is it for, and what should a patient expect?",Spinal Cord Stimulator Implant procedure; Spinal Cord Stimulator Implant what to expect; Spinal Cord Stimulator Implant recovery; Spinal Cord Stimulator Implant side effects,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/spinal-cord-stimulator-implant-trial-procedure/,pain-education,patient,Spinal Cord Stimulator Implant (Trial Procedure),511,4,3,0,0,no,MedicalWebPage MedicalProcedure,moderate,P2,"What is Spinal Cord Stimulator Implant, who is it for, and what should a patient expect?",Spinal Cord Stimulator Implant procedure; Spinal Cord Stimulator Implant what to expect; Spinal Cord Stimulator Implant recovery; Spinal Cord Stimulator Implant side effects,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/stellate-ganglion-block/,pain-education,patient,Stellate Ganglion Block,464,4,3,0,0,no,MedicalWebPage MedicalProcedure,moderate,P2,"What is Stellate Ganglion Block, who is it for, and what should a patient expect?",Stellate Ganglion Block procedure; Stellate Ganglion Block what to expect; Stellate Ganglion Block recovery; Stellate Ganglion Block side effects,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/thoracic-epidural-steroid-injection/,pain-education,patient,Thoracic Epidural Steroid Injection,438,4,3,0,0,no,MedicalWebPage MedicalProcedure,moderate,P2,"What is Thoracic Epidural Steroid Injection, who is it for, and what should a patient expect?",Thoracic Epidural Steroid Injection procedure; Thoracic Epidural Steroid Injection what to expect; Thoracic Epidural Steroid Injection recovery; Thoracic Epidural Steroid Injection side effects,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
