path,title,title_length,description,description_length,h1,clicks_from_home,structured_data,schema_org_validator
/pain-education/botox-injections-for-chronic-migraine/,BOTOX® Injections for Chronic Migraine | PMG,44,"If you have the frequent, severe headache condition known as “chronic migraine,” your doctor may want you to try injections of BOTOX® in your head and neck.",156,BOTOX® Injections for Chronic Migraine,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/caudal-epidural-steroid-injection/,Caudal Epidural Steroid Injection | Pain Management Group,57,"What is a Caudal Epidural Steroid Injection? A caudal epidural steroid injection is a minimally invasive, outpatient procedure used to treat pain caused by…",156,Caudal Epidural Steroid Injection,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/cervical-epidural-steroid-injection/,Cervical Epidural Steroid Injection | Pain Management Group,59,What is a Cervical Epidural Steroid Injection? A cervical epidural steroid injection is a minimally invasive procedure used to treat pain and inflammation in…,158,Cervical Epidural Steroid Injection,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/cervical-facet-radiofrequency-neurotomy/,Cervical Facet Radiofrequency Neurotomy | PMG,45,"What is a Cervical Facet Radiofrequency Ablation? A cervical facet radiofrequency ablation (RFA), also known as a Radiofrequency Neurotomy, is a minimally…",155,Cervical Facet Radiofrequency Neurotomy,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/cervical-transforaminal-epidural-steroid-injection/,Cervical Transforaminal Epidural Steroid Injection | PMG,56,What is a Cervical Transforaminal Epidural Steroid Injection? A cervical transforaminal epidural steroid injection is a minimally invasive procedure used to…,157,Cervical Transforaminal Epidural Steroid Injection,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/genicular-nerve-ablation-rf-neurotomy/,Genicular Nerve Ablation (RF Neurotomy) | PMG,45,"During this outpatient procedure, the physician uses a radiofrequency device to heat up and disrupt the genicular nerves.",121,Genicular Nerve Ablation (RF Neurotomy),2,Organization BreadcrumbList MedicalWebPage,
/pain-education/joint-injection/,Hip Joint Injection | Pain Management Group,43,What is a Hip Joint Injection? A hip joint injection is a minimally invasive procedure used to deliver medication directly into the hip joint.,142,Hip Joint Injection,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/lumbar-epidural-steroid-injection/,Lumbar Epidural Steroid Injection | Pain Management Group,57,What is a Lumbar Epidural Steroid Injection? A lumbar epidural steroid injection is a minimally invasive procedure used to treat low back and radiating leg…,156,Lumbar Epidural Steroid Injection,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/lumbar-sympathetic-block/,Lumbar Sympathetic Block | Pain Management Group,48,What is a Lumbar Sympathetic Block? A lumbar sympathetic block is a minimally invasive procedure used to treat various conditions related to the sympathetic…,157,Lumbar Sympathetic Block,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/lumbar-transforaminal-epidural-steroid-injection/,Lumbar Transforaminal Epidural Steroid Injection | PMG,54,"What is a Lumbar Transforaminal Epidural Steroid Injection? A lumbar transforaminal epidural steroid injection is a minimally invasive, outpatient procedure…",157,Lumbar Transforaminal Epidural Steroid Injection,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/medial-branch-block/,Medial Branch Block | Pain Management Group,43,What is a Medial Branch Block? A medial branch block is a minimally invasive injection procedure used to help diagnose and provide temporary relief for pain…,157,Medial Branch Block,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/mild-procedure-vertos-medical/,Mild® Procedure (Vertos Medical) | Pain Management Group,56,"What is the Mild® Procedure? The Mild® Procedure, developed by Vertos Medical, is a minimally invasive treatment for lumbar spinal stenosis.",140,Mild® Procedure (Vertos Medical),2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/radiofrequency-ablation-rfa-for-pain/,Radiofrequency Ablation (RFA) for Pain | PMG,44,What is Radiofrequency Ablation (RFA)? Radiofrequency ablation (RFA) is a minimally invasive procedure used to treat chronic pain by interrupting the…,150,Radiofrequency Ablation (RFA) for Pain,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/radiofrequency-neurotomy-of-the-lumbar-facets/,Radiofrequency Neurotomy of the Lumbar Facets | PMG,51,What is Radiofrequency Ablation (RFA) of the Lumbar Facets? Radiofrequency ablation (RFA) is a minimally invasive procedure used to treat chronic pain by…,154,Radiofrequency Neurotomy of the Lumbar Facets,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/radiofrequency-neurotomy-of-the-thoracic-facets/,Radiofrequency Neurotomy of the Thoracic Facets | PMG,53,"What is Radiofrequency Ablation (RFA) of the Thoracic Facets? Radiofrequency ablation (RFA), also known as a Radiofrequency Neurotomy, of the thoracic facets…",158,Radiofrequency Neurotomy of the Thoracic Facets,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/sacroiliac-joint-steroid-injection/,Sacroiliac Joint Steroid Injection | Pain Management Group,58,What is a Sacroiliac Joint Steroid Injection? A sacroiliac joint steroid injection is a minimally invasive procedure used to treat pain originating from the…,157,Sacroiliac Joint Steroid Injection,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/soft-tissue-injection/,Steroid Injection for Shoulder Bursitis | PMG,45,What is a Steroid Injection for Shoulder Bursitis? A steroid injection for shoulder bursitis is a minimally invasive procedure used to treat inflammation and…,158,Steroid Injection for Shoulder Bursitis,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/spinal-cord-stimulator-implant/,Spinal Cord Stimulator Implant | Pain Management Group,54,"What is a Spinal Cord Stimulator (SCS) Implant? A spinal cord stimulator (SCS) implant is a medical device used to treat chronic, neuropathic pain in the back…",159,Spinal Cord Stimulator Implant,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/spinal-cord-stimulator-implant-trial-procedure/,Spinal Cord Stimulator Implant (Trial Procedure) | PMG,54,"What is a Spinal Cord Stimulator (SCS) Trial? A spinal cord stimulator (SCS) implant trial is a preliminary, temporary procedure used to evaluate whether a…",156,Spinal Cord Stimulator Implant (Trial Procedure),2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/stellate-ganglion-block/,Stellate Ganglion Block | Pain Management Group,47,"What is a Stellate Ganglion Block? A stellate ganglion block is a minimally invasive injection procedure that targets the stellate ganglion, a group of nerves…",159,Stellate Ganglion Block,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/thoracic-epidural-steroid-injection/,Thoracic Epidural Steroid Injection | Pain Management Group,59,What is a Thoracic Epidural Steroid Injection? A thoracic epidural steroid injection is a minimally invasive procedure used to treat upper back pain and…,153,Thoracic Epidural Steroid Injection,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/thoracic-transforaminal-epidural-steroid-injection/,Thoracic Transforaminal Epidural Steroid Injection | PMG,56,What is a Thoracic Transforaminal Epidural Steroid Injection? A thoracic transforaminal epidural steroid injection is a minimally invasive procedure used to…,157,Thoracic Transforaminal Epidural Steroid Injection,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/trigger-point-injections/,Trigger Point Injections | Pain Management Group,48,What are Trigger Point Injections? Trigger point injections are a minimally invasive procedure used to treat localized muscle pain and spasms.,142,Trigger Point Injections,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/superion-interspinous-spacer-vertiflex/,Superion® InterSpinous Spacer (Vertiflex) | PMG,47,"What is the Superion® InterSpinous Spacer (Vertiflex)? The Superion® InterSpinous Spacer, or Vertiflex, is a minimally invasive implant used to treat lumbar…",157,Superion® InterSpinous Spacer (Vertiflex),2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/opioid-misuse/,Opioid Misuse | Pain Management Group,37,What is Opioid Misuse? Opioid misuse refers to the improper or unauthorized use of prescription opioid medications. This includes taking the medication in ways…,160,Opioid Misuse,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/opioids-and-chronic-pain-management/,Opioids and Chronic Pain Management | Pain Management Group,59,"What are Opioids? Opioids are a powerful class of drugs that can be very effective at controlling severe, acute pain. They work by mimicking the body’s natural…",160,Opioids and Chronic Pain Management,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/side-effects-of-long-term-opioid-use/,Side Effects of Long-Term Opioid Use | Pain Management Group,60,How does long-term opioid use affect the digestive system? Long-term opioid use can have significant impacts on the digestive system.,133,Side Effects of Long-Term Opioid Use,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/tapering-opioid-use-safely/,Tapering Opioid Use Safely | Pain Management Group,50,"How do I stop taking opioid medications safely? If you have been taking opioid medications for an extended period, it is generally not safe to stop them…",153,Tapering Opioid Use Safely,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/about-us/,About Pain Management Group,27,"Pain Management Group builds and manages hospital-based pain management programs with partner hospitals. Learn our mission, story, and team in Findlay, Ohio.",157,About Pain Management Group,1,Organization BreadcrumbList,
/about-us/mission/,Our Mission and Story | Pain Management Group,45,"Pain Management Group's mission and story: why PMG partners with hospitals to deliver pain care that is medically, socially, and financially responsible.",153,Our Mission and Story,1,Organization BreadcrumbList,
/about-us/careers/,Internal Team Opportunities | Pain Management Group,51,"Non-clinical careers on Pain Management Group's internal team, supporting the hospital partner programs PMG builds and manages, and how to apply.",145,Internal Team Opportunities,1,Organization BreadcrumbList,
/news/,News | Pain Management Group,28,"Pain Management Group news: awards, community work, and announcements from PMG and the hospital partner programs it builds and manages.",135,News,1,Organization BreadcrumbList,
/news/pmg-helping-in-houston/,PMG Helping In Houston | Pain Management Group,46,"Earlier in November, PMG sent a team of internal employees to help with Hurricane Harvey relief in Houston, Texas. It was an amazing time serving together, and…",160,PMG Helping In Houston,2,Organization BreadcrumbList NewsArticle,
/news/thank-you-for-paying-it-forward/,Thank You For Paying It Forward | Pain Management Group,55,"To make a conscious effort in our communities to be a positive impact and convey our message of intentional service, PMG provided $10 cash to each PMG internal…",160,Thank You For Paying It Forward,2,Organization BreadcrumbList NewsArticle,
/news/pain-management-group-receives-spirit-award-from-the-partnership-for-excellence/,PMG Receives Partnership For Excellence Spirit Award,52,"Since Pain Management Group began in 2009, we have focused our organizational efforts on developing our expertise to be a resourceful, efficient, and valuable…",159,Pain Management Group Receives ‘Spirit Award’ From The Partnership For Excellence,2,Organization BreadcrumbList NewsArticle,
/news/pain-management-group-receives-the-partnership-for-excellence-silver-award-2022/,PMG Receives 2022 Partnership For Excellence Silver Award,57,The Partnership for Excellence (TPE) announced that Pain Management Group received the 2022 Silver Commitment to Excellence Award.,130,Pain Management Group Receives The Partnership For Excellence Silver Award 2022,2,Organization BreadcrumbList NewsArticle,
/contact/,Contact Pain Management Group,29,"Schedule a call with Pain Management Group about a hospital pain management partnership, or find a partner clinic near you. Offices in Findlay, Ohio.",149,Contact Pain Management Group,1,Organization BreadcrumbList,
/sitemap/,Site Map | Pain Management Group,32,"Every page on the Pain Management Group website: the partnership model, results, partner hospitals by state, provider careers, and pain education.",146,Site Map,1,Organization BreadcrumbList,
